artist,genre
Joe,"['r&b', 'soul christmas', 'urban contemporary']"
THE MINDBENDERS,"['merseybeat', 'british invasion', 'bubblegum pop', 'british blues']"
Hannah Montana,"['teen pop', 'pop']"
Mark Chesnutt,"['country christmas', 'country', 'honky tonk', 'country road', 'contemporary country', 'traditional country', 'country gospel']"
RTZ,"['album rock', 'melodic hard rock']"
BLAKE SHELTON featuring GWEN SEBASTIAN,"['contemporary country', 'country road', 'country', 'country christmas', 'pop christmas']"
WANDA JACKSON,"['rockabilly', 'rock-and-roll', 'cowpunk', 'traditional country', 'nashville sound', 'country gospel']"
RONNIE DOVE,['deep adult standards']
G,[]
LOU RAWLS,"['jazz blues', 'soul', 'soul christmas', 'quiet storm', 'vocal jazz', 'motown', 'adult standards', 'christmas', 'chicago soul', 'soul blues', 'southern soul', 'jazz christmas', 'memphis soul', 'lounge', 'funk']"
Marcus Mumford,[]
Bo Kaspers Orkester,"['classic swedish pop', 'swedish jazz', 'swedish pop']"
BEBE & CECE WINANS featuring MAVIS STAPLES,"['gospel', 'christian christmas']"
PSY featuring SNOOP DOGG,[]
Elle King,[]
Marcus Collins,['talent show']
CAPLETON,"['dancehall', 'roots reggae', 'reggae']"
COUNTRY COALITION,[]
THE CHIPMUNKS with THE MUSIC OF DAVID SEVILLE,"[""children's music"", ""children's christmas""]"
Haunted Houses,[]
DAVE DEE,[]
LARRY MARKS,[]
R. KELLY featuring RONALD ISLEY,"['urban contemporary', 'r&b', 'pop christmas', 'new jack swing', 'soul christmas', 'dance pop', 'indie r&b', 'pop', 'pop rap']"
JAMIE WALTERS,[]
BILL CODAY,['southern soul blues']
Kavinsky,"['filter house', 'electro house', 'house', 'alternative dance', 'new rave', 'edm']"
JERRY COLONNA,['movie tunes']
Zodiac Cartel,['fidget house']
RED HOT CHILLI PEPPERS,[]
Richmond Fontaine,"['alternative country', 'folk', 'cowpunk', 'new americana', 'country rock', 'roots rock', 'gothic americana', 'stomp and holler', 'singer-songwriter']"
Maypole,['polish punk']
TIMEX SOCIAL CLUB,"['freestyle', 'new jack swing']"
J-Kwon,"['pop rap', 'crunk', 'southern hip hop', 'dirty south rap', 'jerk', 'trap music', 'hip pop', 'gangster rap', 'hip hop']"
A PERFECT CIRCLE,"['alternative metal', 'nu metal', 'funk metal', 'post-grunge', 'rap rock', 'funk rock', 'alternative rock', 'groove metal', 'rock']"
Rebecca Taylor,[]
SAMMY KAYE,"['deep adult standards', 'swing', 'christmas', 'easy listening', 'big band', 'jazz christmas', 'adult standards']"
BIG TYMERS,"['crunk', 'dirty south rap', 'southern hip hop', 'trap music', 'gangster rap', 'pop rap']"
FREDDIE JACKSON,"['quiet storm', 'soul christmas', 'new jack swing', 'urban contemporary', 'funk', 'motown']"
CASH MONEY MILLIONAIRES,"['crunk', 'bounce', 'dirty south rap', 'southern hip hop', 'trap music', 'pop rap', 'gangster rap']"
DAVID KERSH,"['deep contemporary country', 'country road', 'country']"
Stephanie Mills,"['quiet storm', 'soul christmas', 'post-disco', 'disco', 'funk', 'new jack swing', 'motown', 'classic funk rock', 'soul', 'urban contemporary']"
Charalambides,"['experimental psych', 'new weird america', 'drone folk', 'freak folk', 'neo-psychedelic']"
KATY PERRY featuring SNOOP DOGG,"['pop', 'pop christmas', 'dance pop', 'teen pop', 'pop rock']"
Neal McCoy,"['country', 'country christmas', 'country road', 'contemporary country']"
DAYA,[]
2PAC featuring TRICK DADDY,"['gangster rap', 'hip hop', 'rap', 'g funk', 'pop rap']"
Javine,['talent show']
LLOYD featuring ANDRE 3000 & LIL WAYNE,"['r&b', 'urban contemporary', 'indie r&b', 'hip pop', 'dance pop', 'pop christmas', 'southern hip hop', 'pop rap', 'neo soul']"
FROST,[]
ATC,"['eurodance', 'bubblegum dance', 'europop']"
La Oreja de Van Gogh,"['spanish pop', 'latin pop', 'latin', 'spanish pop rock', 'hurban']"
VAUGHN MONROE / SONS OF THE PIONEERS,[]
ONEREPUBLIC with SARA BAREILLES,"['pop rock', 'neo mellow', 'piano rock', 'pop', 'pop christmas']"
ATL,"['alternative r&b', 'urban contemporary']"
CENTRAL LINE,"['post-disco', 'post-disco soul']"
RAY J featuring LIL' KIM,"['r&b', 'urban contemporary', 'alternative r&b', 'dance pop', 'indie r&b', 'hip pop', 'new jack swing', 'pop', 'pop rap']"
Lisa Stansfield,"['new wave pop', 'hi nrg', 'disco', 'urban contemporary', 'quiet storm', 'dance pop']"
Driphouse,['abstractro']
Kiely Williams,"['deep dance pop', 'teen pop']"
TIMES TWO,[]
JACK NITZSCHE,"['surf music', 'soundtrack']"
ATU,[]
Jim Jones,"['pop rap', 'trap music', 'southern hip hop', 'dirty south rap', 'crunk', 'alternative hip hop', 'hip hop', 'gangster rap', 'rap']"
Alter Ego,"['electroclash', 'electro house']"
PORTRAIT,[]
RENTALS,"['alternative pop', 'alternative rock', 'power pop', 'lo-fi', 'indie rock', 'indie pop']"
TIMELORDS,[]
Bigg Verb,['detroit hip hop']
Qlons,[]
THE MOTORS,"['pub rock', 'power pop', 'glam rock']"
BABY BOY DA PRINCE featuring LIL BOOSIE,"['crunk', 'jerk', 'bounce', 'southern hip hop', 'dirty south rap', 'pop rap', 'trap music']"
EDDIE HOLLAND,"['motown', 'northern soul', 'chicago soul', 'memphis soul', 'soul']"
Durchblick,[]
Duane Steele,"['canadian country', 'deep contemporary country']"
Mirromoon,['deep space rock']
JULIE ROGERS,[]
78 Edits,['deep soul house']
Lynda Carter,[]
RONNIE DYSON,[]
GLEE CAST featuring CHRIS COLFER & AMBER RILEY,"['teen pop', 'pop christmas']"
YVONNE FAIR,"['motown', 'soul', 'memphis soul', 'southern soul']"
MEL BLANC,"[""children's christmas""]"
Hammerfest,[]
Redzilla,[]
Percewood's Onagram,[]
THREE DOG NIGHT,"['soft rock', 'mellow gold', 'country rock', 'bubblegum pop', 'southern rock', 'album rock', 'folk rock', 'classic rock', 'rock']"
Vicky Green,[]
WHISTLING JACK SMITH,[]
Celles,[]
STEELERS,[]
D Product,"['jump up', 'jungle']"
DJ DRAMA featuring FABOLOUS,"['trap music', 'pop rap', 'southern hip hop', 'crunk', 'dirty south rap', 'alternative hip hop']"
BB MAK,"['boy band', 'europop', 'pop rock']"
Opti,[]
MARIO LANZA,"['operatic pop', 'christmas', 'opera', 'canzone napoletana', 'adult standards']"
CELEBRATION featuring MIKE LOVE,[]
Blackstreet,"['new jack swing', 'urban contemporary', 'r&b', 'hip pop', 'neo soul', 'dance pop']"
Vindata,[]
Oliver Tatsch,['deep tech house']
The Very Sexuals,"['seattle indie', 'dutch rock']"
NIKKI,[]
HILLSONG UNITED,"['worship', 'christian music', 'ccm', 'christian christmas', 'christian alternative rock', 'christian rock']"
DONNA SUMMER & BARBRA STREISAND,[]
Pachanga Boys,[]
OTIS LEAVILL,['deep northern soul']
BILLY ECKSTINE,"['jazz christmas', 'vocal jazz', 'christmas', 'adult standards', 'lounge', 'cabaret', 'swing', 'big band', 'jazz blues']"
YOUNG JEEZY featuring R. KELLY,[]
Jackname Trouble,"['deep melodic house', 'deep soul house']"
Statik Selektah,"['soul flow', 'east coast hip hop', 'alternative hip hop']"
CHRIS HODGE,[]
SPYRO GYRA,"['jazz christmas', 'smooth jazz', 'jazz funk', 'jazz fusion']"
JEANNE PRUETT,"['country gospel', 'nashville sound', 'traditional country', 'honky tonk', 'cowboy western']"
TAIO CRUZ featuring FLO RIDA,"['dance pop', 'pop', 'teen pop', 'pop rap']"
RUFUS featuring CHAKA KHAN,[]
DAMN YANKEES,"['glam metal', 'album rock', 'hard rock', 'rock', 'sleaze rock']"
DAVE MASON,"['country rock', 'soft rock', 'mellow gold', 'folk rock']"
BELL & JAMES,[]
THE SOUL CHILDREN,"['memphis soul', 'southern soul', 'chicago soul', 'soul', 'soul blues', 'motown']"
GLORIA WALKER,['traditional funk']
JOHN MAYER featuring TAYLOR SWIFT,"['neo mellow', 'pop rock', 'singer-songwriter', 'pop', 'blues-rock']"
MARCOS HERNANDEZ,['alternative r&b']
LEFTY FRIZZELL,"['traditional country', 'cowboy western', 'western swing', 'country gospel', 'nashville sound', 'honky tonk', 'outlaw country']"
PAUL DAVIS featuring SUSAN COLLINS,"['soft rock', 'mellow gold']"
THE C.O.D.'S,[]
SAGAT,[]
THE JU-PAR UNIVERSAL ORCHESTRA,[]
MAZE,"['funk', 'quiet storm', 'classic funk rock', 'funk rock', 'post-disco', 'disco', 'soul', 'new jack swing', 'jazz funk', 'motown', 'neo soul']"
JACK GREENE,"['country gospel', 'nashville sound', 'cowboy western', 'traditional country', 'country christmas', 'honky tonk', 'western swing']"
JEREMIH featuring YG,"['indie r&b', 'alternative r&b', 'r&b', 'dance pop', 'urban contemporary', 'pop rap', 'pop christmas', 'pop']"
GREG BATES,"['modern country rock', 'country road', 'contemporary country']"
RASCAL FLATTS featuring NATASHA BEDINGFIELD,"['contemporary country', 'country', 'country road', 'country christmas']"
WYCLEF JEAN featuring REFUGEE ALLSTARS,"['hip hop', 'pop rap', 'hip pop', 'indie r&b', 'southern hip hop', 'dance pop', 'neo soul', 'soul christmas', 'dirty south rap', 'rap', 'r&b', 'urban contemporary', 'pop christmas']"
EIFFEL 65,"['eurodance', 'bubblegum dance', 'europop', 'italo dance', 'hip house', 'italian pop']"
EUROPE,"['hard rock', 'glam metal', 'album rock', 'swedish hard rock', 'rock', 'glam rock', 'metal']"
JULIE ROBERTS,"['country dawn', 'contemporary country', 'country', 'country christmas', 'country road']"
BLOOD,"['visual kei', 'j-metal', 'oshare kei']"
JACK INGRAM,"['texas country', 'outlaw country', 'country road', 'contemporary country', 'country', 'modern country rock']"
S-EXPRESS,"['hip house', 'acid house', 'chicago house']"
UTAH SAINTS,"['hip house', 'hardcore techno', 'big beat', 'electronic', 'breakbeat', 'acid house', 'madchester']"
BIRDMAN featuring LIL WAYNE & DRAKE,"['pop rap', 'trap music', 'southern hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'alternative hip hop', 'hip hop']"
NENA,"['german pop', 'new wave pop', 'dance rock', 'new romantic', 'new wave', 'synthpop']"
LARRY FINEGAN,[]
CRUCIAL CONFLICT,"['gangster rap', 'memphis hip hop', 'dirty south rap', 'crunk', 'juggalo', 'southern hip hop', 'rap']"
JAMES LAST,['easy listening']
BOW WOW featuring J-KWON & JERMAINE DUPRI,"['pop rap', 'hip pop', 'jerk', 'southern hip hop', 'crunk', 'dirty south rap', 'hip hop', 'trap music', 'dance pop', 'urban contemporary', 'r&b']"
SAWYER FREDERICKS,[]
THE CLOVERS featuring BUDDY BAILEY,[]
CIARA featuring 50 CENT,"['hip pop', 'r&b', 'urban contemporary', 'dance pop', 'pop', 'indie r&b', 'pop rap']"
THE WANTED,"['pop', 'boy band', 'teen pop', 'dance pop']"
THE FORTUNES,"['merseybeat', 'british invasion', 'bubblegum pop']"
SWV,"['new jack swing', 'urban contemporary', 'soul christmas', 'r&b', 'hip pop', 'pop christmas', 'neo soul']"
THE DIRTY HEADS featuring ROME,['reggae rock']
M/A/R/R/S,[]
SEETHER,"['post-grunge', 'nu metal', 'alternative metal', 'rap rock', 'rap metal', 'industrial metal', 'groove metal', 'pop rock', 'alternative rock']"
BILL WRAY,[]
MACK 10 & THA DOGG POUND,[]
THE FRANK BARBER ORCHESTRA,[]
THE BEATLES with TONY SHERIDAN,"['british invasion', 'merseybeat']"
FOUR PREPS,"['deep adult standards', 'doo-wop']"
THE S.O.U.L. S.Y.S.T.E.M.,[]
JIMMY DELPHS,[]
JANET feat BLACKSTREET,[]
CHUCK BROWN & THE SOUL SEARCHERS,"['funk', 'classic funk rock', 'deep funk', 'funk rock', 'soul christmas']"
SPINNERS,"['motown', 'soul', 'quiet storm', 'funk', 'chicago soul', 'classic funk rock', 'disco', 'southern soul', 'memphis soul', 'funk rock']"
TOUSSAINT McCALL,"['deep southern soul', 'southern soul', 'memphis soul', 'chicago soul', 'soul blues', 'soul']"
WAKA FLOCKA FLAME featuring TREY SONGZ,"['trap music', 'deep trap', 'alternative hip hop', 'southern hip hop', 'pop rap', 'hip hop']"
MATTHEWS' SOUTHERN COMFORT,"['folk rock', 'country rock', 'traditional folk']"
KAY KYSER & HIS ORCHESTRA,[]
THE BLACK EYES PEAS,"['dance pop', 'pop', 'pop rap']"
COBRA STARSHIP,"['pop emo', 'pop punk', 'teen pop']"
BILLY 'CRASH' CRADDOCK,['nashville sound']
DON OMAR & LUCENZO,[]
ELO,[]
SEAN KINGSTON featuring NICKI MINAJ,"['dance pop', 'pop rap', 'soul christmas', 'pop christmas', 'urban contemporary']"
TAYLOR SWIFT featuring KENDRICK LAMAR,"['teen pop', 'pop christmas', 'pop']"
DELLS,"['chicago soul', 'motown', 'soul christmas', 'doo-wop', 'southern soul', 'soul', 'quiet storm', 'memphis soul']"
BOB SEGER SYSTEM,[]
JESUS JONES,"['madchester', 'britpop']"
ATLANTIC STARR,"['quiet storm', 'funk', 'post-disco', 'classic funk rock', 'disco', 'new jack swing', 'motown', 'soul', 'funk rock', 'urban contemporary']"
THE CALL,[]
CHAIRMEN OF THE BOARD,"['beach music', 'chicago soul', 'northern soul', 'motown', 'soul', 'memphis soul', 'southern soul', 'quiet storm', 'soul blues']"
DARRELL BANKS,"['northern soul', 'chicago soul', 'memphis soul', 'southern soul']"
JOHN DENVER,"['traditional folk', 'folk', 'country rock', 'soft rock', 'folk rock', 'mellow gold', 'folk christmas', 'singer-songwriter', 'folk-pop', 'country christmas']"
MOTT THE HOOPLE,"['glam rock', 'protopunk', 'pub rock', 'classic rock', 'rock', 'british blues', 'blues-rock', 'album rock', 'british invasion', 'hard rock']"
7 MILE,"['southern soul blues', 'new jack smooth']"
THE DEEP SIX,[]
SKRILLEX featuring SIRAH,"['brostep', 'complextro', 'edm', 'catstep', 'moombahton', 'electro house', 'house', 'electro']"
LIL WAYNE featuring JUELZ SANTANA & FABOLOUS,"['pop rap', 'trap music', 'southern hip hop', 'dirty south rap', 'crunk', 'hip hop', 'pop christmas']"
JULIAN COPE,"['uk post-punk', 'melancholia', 'post-punk', 'neo-psychedelic', 'art rock', 'madchester', 'new wave', 'dream pop', 'britpop', 'shoegaze', 'dance rock', 'experimental', 'space rock', 'alternative rock']"
THE WAITRESSES,"['new wave pop', 'dance rock', 'new romantic', 'new wave']"
BEFORE DARK,[]
LIL' BOW WOW featuring XSCAPE,[]
THE SECRETS,[]
LIL' WAYNE,"['pop rap', 'trap music', 'southern hip hop', 'dirty south rap', 'crunk', 'hip hop', 'pop christmas']"
ROBERT TEPPER,[]
LIL WAYNE featuring BRUNO MARS,"['pop rap', 'trap music', 'southern hip hop', 'dirty south rap', 'crunk', 'hip hop', 'pop christmas']"
YO GOTTI featuring JEEZY & YG,"['trap music', 'crunk', 'memphis hip hop', 'southern hip hop', 'dirty south rap', 'pop rap', 'gangster rap']"
JUICY J featuring LIL WAYNE & 2 CHAINZ,"['trap music', 'memphis hip hop', 'dirty south rap', 'alternative hip hop', 'southern hip hop', 'crunk', 'pop rap', 'gangster rap', 'juggalo', 'hip hop']"
PRINCE & THE REVOLUTION,"['funk rock', 'classic funk rock', 'funk', 'soul christmas']"
FROZEN GHOST,[]
MR. PRESIDENT,"['bubblegum dance', 'eurodance', 'europop', 'german techno', 'hip house']"
ROSE ROYCE,"['disco', 'funk', 'quiet storm', 'classic funk rock', 'funk rock', 'post-disco', 'soul', 'motown', 'hi nrg']"
JAMIE FOXX featuring T.I.,"['r&b', 'urban contemporary', 'neo soul', 'dance pop', 'indie r&b']"
KREAYSHAWN,"['alternative hip hop', 'bmore']"
TEN YEARS AFTER,"['blues-rock', 'british blues', 'classic rock', 'electric blues', 'psychedelic rock', 'modern blues', 'southern rock', 'texas blues', 'blues', 'chicago blues', 'rock', 'album rock']"
THE YOUNG HEARTS,[]
ROGER HODGSON,"['progressive rock', 'symphonic rock', 'art rock', 'album rock']"
THE MERRY-GO-ROUND,"['classic garage rock', 'freakbeat', 'psychedelic rock']"
THE UNKNOWNS,[]
FATS DOMINO,"['rock-and-roll', 'new orleans blues', 'swamp pop', 'rockabilly', 'boogie-woogie', 'piano blues', 'jazz blues', 'brill building pop', 'soul christmas', 'memphis blues', 'jazz christmas']"
MARC COHN,"['singer-songwriter', 'folk-pop', 'mellow gold', 'folk rock', 'soft rock', 'folk', 'traditional folk', 'neo mellow', 'roots rock']"
DIDDY featuring KEYSHIA COLE,"['hip pop', 'pop rap', 'hip hop', 'dance pop', 'rap', 'urban contemporary', 'r&b']"
THEE PROPHETS,[]
RAY EBERLE,[]
HUSTLE GANG feat T.I.,[]
RAEKWON,"['hardcore hip hop', 'east coast hip hop', 'rap', 'hip hop', 'old school hip hop', 'alternative hip hop', 'underground hip hop', 'gangster rap']"
HURRICANE SMITH,['bubblegum pop']
Kontigo,"['substep', 'cinematic dubstep', 'future garage']"
THE FLEETWOODS,"['doo-wop', 'brill building pop', 'deep adult standards']"
LUDACRIS featuring TREY SONGZ,"['southern hip hop', 'pop rap', 'dirty south rap', 'crunk', 'trap music', 'gangster rap', 'hip hop', 'rap', 'dance pop']"
THE STRAY CATS,"['rockabilly', 'rock-and-roll', 'pub rock', 'cowpunk', 'glam rock']"
THE COVER GIRLS,['freestyle']
YOUNG MC,"['old school hip hop', 'electro', 'rap', 'hip hop']"
JUICE NEWTON,"['nashville sound', 'country dawn', 'country christmas', 'soft rock', 'country', 'country rock']"
REBA McENTIRE,"['country', 'country christmas', 'country dawn', 'contemporary country']"
SPYS,[]
MONKEES,"['bubblegum pop', 'british invasion', 'boy band', 'psychedelic rock', 'british blues', 'folk rock']"
LADY FLASH,[]
TRAVIS WAMMACK,[]
MARIANNE FAITHFULL,"['singer-songwriter', 'folk-pop', 'new wave pop', 'chamber pop']"
LIL WAYNE featuring 2 CHAINZ,"['pop rap', 'trap music', 'southern hip hop', 'dirty south rap', 'crunk', 'hip hop', 'pop christmas']"
EAST L.A. CAR POOL,[]
JIMMY RICKS,[]
SYL JOHNSON,"['southern soul', 'memphis soul', 'soul blues', 'chicago soul', 'soul']"
ROBERT HAZARD,['deep new wave']
ALEXANDROW KARAZOV,[]
RUPEE,['soca']
THE IVYS,[]
BERT KAEMPFERT ORCHESTRA,[]
LENNY LeBLANC,"['worship', 'christian christmas']"
CYBEREALITY\u30e9\u30a4\u30d5,[]
NILE ROGERS,[]
TERESA BREWER,"['deep adult standards', 'christmas', 'adult standards']"
CHERYL LADD,[]
THE BETTY SMITH GROUP,[]
HOWARD JOHNSON,['contemporary post-bop']
THE FIESTAS,['doo-wop']
MIKE JONES,"['crunk', 'dirty south rap', 'southern hip hop', 'trap music', 'pop rap', 'gangster rap', 'pop christmas']"
THIRTY SECONDS TO MARS,"['post-grunge', 'rap rock', 'alternative metal', 'nu metal', 'pop rock', 'rap metal', 'pop punk', 'alternative rock', 'rock']"
LITTLE ESTHER PHILLIPS,"['jazz blues', 'jump blues', 'soul blues', 'southern soul', 'memphis soul', 'chicago soul', 'soul christmas', 'soul', 'motown', 'jazz christmas']"
BONNIE McKEE,"['candy pop', 'pop', 'teen pop', 'lilith']"
TOO SHORT,"['west coast rap', 'gangster rap', 'g funk', 'hyphy', 'juggalo', 'dirty south rap']"
THE EURYTHMICS,"['new wave pop', 'dance rock', 'new romantic', 'new wave', 'synthpop', 'hi nrg', 'art rock']"
N.O.R.E.,"['hardcore hip hop', 'rap', 'gangster rap']"
HAWKSHAW HAWKINS,"['western swing', 'cowboy western', 'country gospel', 'traditional country', 'nashville sound']"
JESSIE JAMES,"['teen pop', 'pop', 'dance pop', 'contemporary country', 'country']"
AUTOMATIC MAN,[]
HOLLYWOOD FLAMES,['doo-wop']
SNOOP DOGGY DOGG,[]
COLLAGE,['freestyle']
CHRIS DAUGHTRY,[]
FREDERICK KNIGHT,"['memphis soul', 'southern soul', 'soul']"
SILKK THE SHOCKER feat MASTER P,"['crunk', 'dirty south rap', 'southern hip hop', 'gangster rap', 'memphis hip hop', 'trap music']"
GLEN BURTNICK,[]
KEITH HAMPSHIRE,[]
JON ASTLEY,['deep new wave']
NICOLE SCHERZINGER featuring 50 CENT,"['pop', 'dance pop', 'teen pop', 'europop', 'hip pop', 'r&b', 'urban contemporary']"
MEAT LOAF with ELLEN FOLEY & PHIL RIZZUTO,"['album rock', 'rock', 'glam rock', 'hard rock', 'mellow gold', 'soft rock', 'classic rock']"
POWER STATION,"['new wave pop', 'new romantic', 'dance rock', 'new wave', 'synthpop']"
JAY SEAN featuring NICKI MINAJ,"['dance pop', 'pop', 'r&b', 'desi', 'teen pop', 'indian pop', 'urban contemporary']"
THE DIXIE DREGGS,"['jazz fusion', 'progressive rock', 'southern rock', 'symphonic rock', 'art rock']"
YES,"['progressive rock', 'symphonic rock', 'art rock', 'album rock']"
KNIGHT BROTHERS,['deep southern soul']
SERGIO MENDES with JOE PIZZULO & LEZA MILLER,"['bossa nova', 'mpb', 'samba', 'brazilian pop music', 'lounge', 'world christmas']"
BIG SEAN featuring CHRIS BROWN,"['alternative hip hop', 'pop rap', 'trap music', 'indie r&b', 'hip hop']"
BOOTSY'S RUBBER BAND,"['p funk', 'classic funk rock', 'funk rock', 'funk']"
B-ROCK & THE BIZZ,[]
CHRISTINA AGUILERA with BLAKE SHELTON,"['dance pop', 'pop christmas', 'pop', 'teen pop']"
GARY ALLEN,[]
THE CHARMETTES,['girl group']
JADAKISS,"['rap', 'pop rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'dirty south rap', 'alternative hip hop', 'trap music', 'gangster rap']"
ANIMOTION,"['new wave pop', 'new romantic', 'dance rock', 'new wave', 'synthpop', 'deep new wave']"
PASSION PIT,"['indietronica', 'synthpop', 'alternative dance', 'indie pop', 'new rave', 'dance-punk']"
ETTA JAMES & SUGAR PIE DESANTO,[]
HARRY JAMES & HIS MUSIC MAKERS,[]
CHRISTIE,"['bubblegum pop', 'british invasion', 'merseybeat']"
PAULA ABDUL,"['hi nrg', 'dance pop', 'new wave pop', 'europop']"
NICKI FRENCH,"['eurodance', 'hip house', 'europop']"
WILL.I.AM & NICKI MINAJ,[]
CHAS McDEVITT SKIFFLE GROUP,['skiffle']
JEREMIH,"['indie r&b', 'alternative r&b', 'r&b', 'dance pop', 'urban contemporary', 'pop rap', 'pop christmas', 'pop']"
FAT JOE featuring LIL' WAYNE,[]
ROBBIE DUPREE,"['deep soft rock', 'soft rock', 'mellow gold']"
DYNAMICS,[]
MARK RONSON featuring BRUNO MARS,"['pop', 'synthpop']"
DARYL HALL & JOHN OATES,[]
WAKA FLOCKA FLAME,"['trap music', 'deep trap', 'alternative hip hop', 'southern hip hop', 'pop rap', 'hip hop']"
DORIS DAY & FRANKIE LAINE,[]
B.O.B,"['pop rap', 'southern hip hop', 'alternative hip hop', 'trap music', 'dirty south rap', 'hip hop', 'indie r&b', 'dance pop', 'pop']"
RAY CHARLES ORCHESTRA,[]
BROOKS & DUNN featuring BILLY GIBBONS,"['country', 'country christmas', 'contemporary country', 'country road', 'country rock', 'pop christmas']"
IAN GOMM,['pub rock']
WATTS 103RD STREET RHYTHM BAND,[]
COUNTRY JOE McDONALD,"['folk rock', 'traditional folk', 'psychedelic rock', 'folk', 'country rock', 'roots rock', 'classic rock', 'singer-songwriter']"
RECORDS,"['jangle pop', 'power pop', 'pub rock']"
THE REMBRANDTS,"['pop rock', 'power pop', 'mellow gold', 'soft rock', 'new wave pop']"
JAMES STEWART,[]
STEVE MILLER BAND,"['classic rock', 'blues-rock', 'mellow gold', 'southern rock', 'rock', 'album rock', 'roots rock', 'country rock', 'soft rock', 'psychedelic rock', 'folk rock', 'british blues', 'singer-songwriter']"
THE SCAFFOLD,"['merseybeat', 'british invasion']"
THE CARTER BROTHERS,[]
KROKUS,"['heavy christmas', 'hard rock', 'glam metal', 'album rock', 'rock', 'glam rock', 'metal']"
NU SHOOZ,"['freestyle', 'hi nrg', 'post-disco']"
NU FLAVOR,[]
NATASHA BEDINGFIELD,"['pop christmas', 'pop', 'dance pop', 'europop', 'teen pop', 'pop rock', 'neo mellow', 'new wave pop']"
TOYA,[]
PRETTY PURDIE,[]
FOX,[]
YASMEEN featuring GHOSTFACE KILLAH,[]
TAIO CRUZ featuring LUDACRIS,"['dance pop', 'pop', 'teen pop', 'pop rap']"
ONE WAY,[]
FLORIDA GEORGIA LINE featuring LUKE BRYAN,"['modern country rock', 'country road', 'contemporary country']"
AUTRY INMAN,"['traditional rockabilly', 'vintage rockabilly']"
ROCKETS,[]
TIMBALAND featuring MISSY ELLIOTT & MAGOO,"['dance pop', 'pop rap', 'pop', 'hip hop']"
TOYS,[]
CRYSTALS,"['brill building pop', 'rock-and-roll', 'british invasion']"
VAL DOONICAN,[]
ANNA NALICK,"['lilith', 'neo mellow', 'pop rock', 'acoustic pop', 'deep acoustic pop', 'new wave pop']"
DEVONE,[]
JAGGED EDGE featuring DA BRAT & JD,"['new jack swing', 'r&b', 'urban contemporary', 'soul christmas', 'pop christmas', 'neo soul', 'dance pop']"
CHRIS CUEVAS,[]
BUOYS,[]
JOHNNY TILLOTSON,"['rock-and-roll', 'brill building pop', 'rockabilly', 'british invasion', 'merseybeat', 'adult standards']"
TOTAL feat MISSY ELLIOTT,"['hip pop', 'new jack swing', 'r&b', 'urban contemporary']"
SHANIA TWAIN with BILLY CURRINGTON or MARK McGRATH,"['country', 'country dawn', 'canadian country', 'contemporary country', 'pop rock']"
B.B.KING,"['electric blues', 'texas blues', 'modern blues', 'soul blues', 'traditional blues', 'blues', 'jazz blues', 'blues-rock', 'memphis blues', 'chicago blues', 'country blues', 'british blues', 'classic rock', 'jazz christmas']"
MICHELLE CHAMUEL,[]
LEVEL 42,"['new romantic', 'new wave pop', 'dance rock', 'new wave', 'synthpop', 'soft rock', 'post-disco']"
BILLY STRANGE,['surf music']
JIMMY GILMER & THE FIREBALLS,[]
SPELLBOUND,['psychobilly']
THE HIVES,"['garage rock', 'swedish hard rock', 'swedish indie rock', 'indie christmas', 'indie rock', 'rock']"
JACKIE SHANE,[]
MANTOVANI,"['easy listening', 'christmas']"
MKTO,['pop']
KUT KLOSE,"['new jack swing', 'soul christmas', 'urban contemporary', 'r&b']"
RITCHIE FAMILY,"['disco', 'hi nrg', 'deep disco']"
THE FOUR KING SISTERS,[]
ROGER WILLIAMS,[]
JIMI HENDRIX,"['blues-rock', 'classic rock', 'psychedelic rock', 'rock', 'classic funk rock']"
T.I.,"['pop rap', 'southern hip hop', 'dirty south rap', 'trap music', 'crunk', 'gangster rap', 'hip hop']"
THE FIRST EDITION,[]
NAUGHTY BY NATURE featuring ZHANE,"['rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'east coast hip hop', 'gangster rap', 'juggalo', 'g funk', 'underground hip hop']"
BILL WYMAN,"['british blues', 'blues-rock', 'pub rock', 'classic rock']"
THE ALAN PARSONS PROJECT,"['progressive rock', 'symphonic rock', 'art rock', 'space rock', 'album rock', 'soft rock']"
JACK BLANCHARD & MISTY MORGAN,[]
POWERSOURCE,"['goa trance', 'psychedelic trance']"
CHIC,"['disco', 'funk', 'post-disco', 'classic funk rock', 'funk rock', 'hi nrg', 'soul', 'quiet storm', 'motown']"
TATA VEGA,[]
GIORGIO MORODER,['disco']
DIRE STRAITS,"['rock', 'mellow gold', 'album rock', 'classic rock', 'blues-rock', 'roots rock', 'soft rock', 'art rock', 'singer-songwriter', 'folk rock', 'glam rock']"
RONNIE DUNN,"['modern country rock', 'country road', 'contemporary country']"
THE MERRY MACS,[]
SAM NEELY,[]
JIDENNA featuring ROMAN GIANARTHUR,[]
DISCO TEX & THE SEX -O-LETTES,['disco']
2 PAC,"['gangster rap', 'hip hop', 'rap', 'g funk', 'pop rap']"
JERRY LEE LEWIS,"['rockabilly', 'rock-and-roll', 'piano rock']"
